구분,품목구분,상품코드,상품명,내포입
부자재,부자재,PD23110800001,트리플콜라겐 오렌지 2개입 상자,
부자재,부자재,PD24123000001,트리플콜라겐 오렌지 4개입 상자,
부자재,부자재,PD23110800002,트리플콜라겐 오렌지 6개입 상자,
부자재,부자재,PD25111800001,케라그로우 망고 2개입 상자,
부자재,부자재,PD25111800002,케라그로우 망고 6개입 상자,
부자재,부자재,PD24082000001,(24추석) 트리플콜라겐 오렌지 2개입 상자,
부자재,부자재,PD24082000002,(24추석) 트리플콜라겐 오렌지 6개입 상자,
부자재,부자재,PD24082000003,(24추석) 트리플샤인 포도 2개입 상자,
부자재,부자재,PD24082000004,(24추석) 트리플샤인 포도 6개입 상자,
부자재,부자재,PD24082000005,(24추석) 스킨시너지 2개입 상자,
부자재,부자재,PD24082000006,(24추석) 스킨시너지 6개입 상자,
부자재,부자재,PD24082000007,(24추석) 진주참,
부자재,부자재,PD24082000008,(24추석) 6개입 아이보리색 보자기백(L),
부자재,부자재,PD24082000009,(24추석) 2개입 오렌지색 보자기백(S),
